,Exe_time,Case_Study,Dati,Start,Turning & Milling,Turning & Milling Q.C.,Laser Marking,Lapping,Round Grinding,Final Inspection Q.C.,Packing,End,Turning Q.C.,Flat Grinding,Grinding Rework,Setup,Turning,SETUP     Turning & Milling,Final Inspection,Rework Milling,Milling Q.C.,Milling,Fix,Round  Q.C.,Stress Relief,Turning Rework,Change Version,Turn & Mill. & Screw Assem,Nitration Q.C.
23,"(1.0, 33.44092520000413)",Production_Case_Study,error,0.0,34538.51254967261,71993.40996168583,86378.86282421427,186741.22768075665,56488.99895297887,95679.94102504352,75378.40772801713,7242.906576888889,27251.9787905645,65577.09199008506,328273.9685057211,1170.0,54115.05110199209,20124.028574000004,36060.0,6300.0,0.0,12718.814997466667,304249.99999999994,52510.0,7300.000000000002,399440.00000000006,20985.0,69503.39003767859,894900.0
24,"(1.0, 16.356668000109494)",Production_Case_Study,alpha,0,0.0625,0.03125,0.125,0,0.015625,0,0.0625,0,0,0.0625,0.09375,0.25,0,0,1,0.5,0,0,0,0.046875,0.5,0,0,0,0
25,"(1.0, 16.356668000109494)",Production_Case_Study,error,0.0,32203.322417731662,73289.65498916245,48599.07866444444,174968.47876447864,54743.37197786116,104534.29157387406,78263.20482797115,4950.0,45973.090909090904,71731.61076816927,308925.2144103904,5730.0,52015.275590551144,145026.6666666667,36060.0,153783.760829,276400.0,21385.14285714286,373510.0,80714.692538,7300.000000000002,386093.3333333334,22215.0,88442.61471861473,713100.0
26,"(1.0, 16.44275170005858)",Production_Case_Study,alpha,0,0.03125,0.0625,0,0,0,0.09375,0.0625,0,0.0625,0.125,0.125,0,0,0.5,0,1,0.5,0,0.0625,0,0,0.25,1,0,0
27,"(1.0, 16.44275170005858)",Production_Case_Study,error,0.0,33404.570326502966,74173.21759074615,98325.23809523809,204625.62162162154,56103.70577317072,89914.57295152746,71785.31209343011,6633.333333333334,24968.104119251388,55080.941006107554,295476.72101299086,34870.0,54115.275590551144,170314.463938,36060.0,6300.0,0.0,35159.57894736842,337459.00573226664,156483.33333333334,7300.000000000002,399560.00000000006,22695.0,84120.1904761905,804900.0
28,"(1.0, 24.38457560003735)",Production_Case_Study,alpha,0,0,0,0,0,0.0625,0.03125,0.0625,0.5,0.125,0.125,0.1015625,0,0,0,1,0,1,0.125,0,0,0.5,0.5,0.5,0.109375,0
29,"(1.0, 24.38457560003735)",Production_Case_Study,error,0.0,35151.63857215627,79007.67198490309,97929.0476190476,205825.6216216215,55934.71529780749,91982.76408199084,77827.81522315406,2684.1211145999996,19401.559741476194,72208.86165606385,287738.66366358916,5730.0,54115.275590551144,31333.333333333336,36060.0,217700.0,0.0,32619.625691590914,251009.99999999994,90584.28571428571,7300.000000000002,399560.00000000006,47415.0,65629.45311794947,894900.0
30,"(1.0, 25.41066910000518)",Production_Case_Study,alpha,0,0.03125,0.03125,0,0.5,0.0625,0.0625,0.0625,0,0,0.0625,0.0859375,0,1,0,0.5,1,0,0,0,0,0,0,0.75,0.0625,0
31,"(1.0, 25.41066910000518)",Production_Case_Study,error,0.0,30524.039465716203,71453.50086238902,128525.71428571429,194217.07826388098,53654.91263514949,103363.93301566661,75298.88759753684,2400.000000000001,25864.93181818183,54212.85914451073,291676.00853604905,5730.0,54115.275590551144,145660.0,36060.0,6300.0,302800.0,39216.88888888889,343147.33333333326,100130.0,7300.000000000002,399560.00000000006,22695.0,79127.86558985716,894900.0
32,"(1.0, 8.781091199954972)",Production_Case_Study,alpha,0,0,0.0625,0,0,0.0625,0.0625,0.0625,0,0,0.0625,0.15625,0.5,0.5,1,0.5,0.5,1,0,0.0625,0.0625,0.5,0,0.5,0.25,0
33,"(1.0, 8.781091199954972)",Production_Case_Study,error,0.0,35176.99326755063,73527.5947368695,129321.42857142855,205825.6216216215,52933.38219676119,100166.81452858714,84223.30587440147,13569.230769230762,28104.007736943917,73247.77980835104,267529.87103830033,32478.217914,54115.275590551144,122882.5501858,36060.0,6300.0,0.0,28470.857142857145,282291.22777255555,60046.60520975,7300.000000000002,387640.00000000006,47415.0,86387.44222208572,894900.0
34,"(1.0, 24.691923999926075)",Production_Case_Study,alpha,0,0.0625,0.046875,1,0,0,0.03125,0,0,0.015625,0.0390625,0.109375,0,0,0.375,0,1,0.5,0,0,0,1,0.5,1,0.0625,0
