,Exe_time,Case_Study,Dati,Create Purchase Requisition,Create Request for Quotation,Analyze Request for Quotation,Send Request for Quotation to Supplier,Create Quotation comparison Map,Analyze Quotation Comparison Map,Choose best option,Settle Conditions With Supplier,Create Purchase Order,Confirm Purchase Order,Deliver Goods Services,Release Purchase Order,Approve Purchase Order for payment,Send Invoice,Release Supplier's Invoice,Authorize Supplier's Invoice payment,Pay Invoice,Amend Request for Quotation,Settle Dispute With Supplier,Analyze Purchase Requisition,Amend Purchase Requisition
15,"(1.0, 46.29461019998416)",Purchase_Process_Case_Study,error,0.0,6861.780342998375,442995.12488803954,29629.760253764045,12828.557900304826,12694.439764755734,10636.456967708029,36255.57064842293,8803.84792943032,98608.48554055937,214031.11038912006,13980.56270049934,15306.524822829042,95318.7524076826,24440.720926519425,11919.718589734865,11723.874605862633,9377.656430284425,9663.06305490872,40521.69214458247,13128.311688311687
16,"(1.0, 48.160970099968836)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.107421875,0.1015625,0.625,1,0.111328125,0.1015625,0.25,0.25,0.375,0.107421875,0.25,0.59375,0,0.09375,0.5,0.25,0.5,1
17,"(1.0, 48.160970099968836)",Purchase_Process_Case_Study,error,0.0,7085.859860083813,412214.5687006451,9788.873067051252,13768.089128735006,11568.522398967518,8385.813380666666,17771.501152578658,12877.8413530836,81612.61378103378,196440.45171205577,14016.584893213752,11323.503634361867,56425.03352913711,24154.75779809561,13638.486765541318,10658.795718438258,9736.046602872111,9633.07144070725,42580.86191166646,23445.12812463636
18,"(2.0, 3.6002378000412136)",Purchase_Process_Case_Study,alpha,0,0.5,0.25,0.0859375,0.109375,0.625,0.5,0.103515625,0.109375,0.25,0.25,0.375,0.0859375,0.25,0.609375,0,0,0.5,0.21875,0.625,0.5
19,"(2.0, 3.6002378000412136)",Purchase_Process_Case_Study,error,0.0,6815.150116611809,485892.7633284614,13062.163023533321,10891.71823747906,13395.566138397659,10898.25348219708,15522.313120397099,7670.490411744189,75012.12812660691,187042.64063240256,13285.99536254436,6811.548852302183,52604.63057297334,23099.697055815297,12439.445093291552,11954.621848739496,9837.51023603306,8771.086411365415,39948.01555169314,18870.031602763636
20,"(1.0, 39.128454599995166)",Purchase_Process_Case_Study,alpha,0,0.5,0.25,0.09375,0.09375,0.625,1,0.09375,0.09375,0.234375,0.234375,0.375,0.09375,0.25,0.5625,0.1875,0.078125,0.5,0.125,1,1
21,"(1.0, 39.128454599995166)",Purchase_Process_Case_Study,error,0.0,6910.82193745772,403502.602256056,26644.051161912277,10154.805451249911,13422.571166593356,9424.307361239436,37341.72987061416,8988.099102438067,95865.65351763465,220623.23665365763,13497.14365783822,14362.551516607338,91201.71804840588,24898.1902848371,10724.558124038527,10904.847128697656,9914.694933742143,8401.192994208066,39218.79476843377,11260.137883954545
22,"(1.0, 49.30356799997389)",Purchase_Process_Case_Study,alpha,0,1,0.125,0.125,0.125,0.6015625,1,0.125,0.125,0.24609375,0.25,0.4375,0.125,0.25,0.625,0.09375,0.09375,0.5,0.125,0,0
23,"(1.0, 49.30356799997389)",Purchase_Process_Case_Study,error,0.0,6583.029127776471,568142.6621814782,46617.77597912445,26390.39815032176,12717.0706668805,10101.439193614457,47460.05068955563,24440.03698755442,81641.63036873992,209256.57344057396,13664.743166350796,30330.00453096253,82579.6915259973,24188.048309052618,10876.95061377877,11023.09946043762,9257.407516186187,9167.820560963026,41198.32779424018,13745.454545454546
24,"(1.0, 49.15321850008331)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.1015625,0.109375,0.375,1,0.1171875,0.109375,0.2421875,0.25,0.4375,0.107421875,0.2421875,0.5,0.125,0.125,0.5,0.25,0.875,0
25,"(1.0, 49.15321850008331)",Purchase_Process_Case_Study,error,0.0,5845.435315651353,439429.95231507,20136.478731938667,10577.064161912836,13219.528671462238,9583.979468192307,18024.34284363546,7014.780337515739,66466.19243589617,200143.75620779765,12929.346190325625,9195.31172500467,61700.53874549994,25005.73421738934,11125.483520634421,11198.89189252482,9196.694166616166,6640.804351076682,40314.534011094525,20945.454545454544
26,"(2.0, 2.7026629999745637)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.109375,0.107421875,0.4375,1,0.1171875,0.109375,0.2373046875,0.2392578125,0.3125,0.109375,0.234375,0.65625,0,0,0.5,0.1875,1,0
27,"(2.0, 2.7026629999745637)",Purchase_Process_Case_Study,error,0.0,6544.915876495366,388481.83324633143,13085.725509611915,10699.781070926765,12580.101670455702,10126.111487519802,23173.838519480494,6493.602017379192,76844.75238173138,192934.85198520165,13743.971070852274,10068.311677083191,95537.69172573125,24365.29786320197,13512.848645757027,12906.835807277957,9428.966198158638,8541.690591004768,42765.01112049136,12960.986749321213
28,"(2.0, 10.125331500079483)",Purchase_Process_Case_Study,alpha,0,0.75,0.25,0.08203125,0.109375,0.625,1,0.107421875,0.10546875,0.234375,0.232421875,0.4375,0.10546875,0.25,0.625,0,0.125,0.5,0.25,0,1
29,"(2.0, 10.125331500079483)",Purchase_Process_Case_Study,error,0.0,6342.13638677022,462819.66645077744,16028.888290031158,10511.716826555112,12202.16733570218,11624.74747982195,24952.54747388815,6445.563344797379,90464.65296052057,209820.5163815496,13501.639940545461,9761.149401309856,88040.40251925186,24117.912309815605,14096.982495137536,10937.382158154964,9738.512566944217,7864.389495736537,41854.49177003326,25533.186191899997
30,"(1.0, 50.185095800086856)",Purchase_Process_Case_Study,alpha,0,0.625,0.25,0.087890625,0.1015625,0.625,1,0.103515625,0.1015625,0.2490234375,0.25,0.375,0.1015625,0.25,0.625,0,0.125,0.5,0.125,1,1
31,"(1.0, 50.185095800086856)",Purchase_Process_Case_Study,error,0.0,6005.7065565869825,474001.5282757444,9258.683924472833,9556.901267248672,12789.94890400477,8976.597726613636,15809.148892100773,6530.422497692422,45634.92414163949,196615.73816743703,13942.79731102685,13877.458766109847,50236.66479689341,23968.41124184715,12910.914429962391,11251.200470310061,9397.59146617327,8657.61669954717,39983.05347630341,11761.308783727274
32,"(1.0, 48.59844840015285)",Purchase_Process_Case_Study,alpha,0,0.75,0.24609375,0.0849609375,0.1015625,0.5625,1,0.10546875,0.1015625,0.25,0.25,0.4375,0.1015625,0.25,0.5,0.1875,0.1875,0.5,0.09375,0.5,0
33,"(1.0, 48.59844840015285)",Purchase_Process_Case_Study,error,0.0,6345.007371686095,500977.1205858898,15567.47185310056,7479.864406635788,12337.546219254446,10347.174344817131,29992.263702068445,6623.986236978175,75006.75818129742,195493.00743163473,13096.665043421435,6646.499925924239,69644.12748114842,25632.495697611805,10607.846833988124,10937.438033383643,8947.420960586744,8060.799746960466,40774.549218368,16730.713859727275
34,"(1.0, 50.11863659997471)",Purchase_Process_Case_Study,alpha,0,0.5,0.25,0.080078125,0.09375,0.625,1,0.107421875,0.09765625,0.21875,0.25,0.4375,0.1015625,0.25,0.5,0.0625,0.078125,0.5,0.25,0.875,0
35,"(1.0, 50.11863659997471)",Purchase_Process_Case_Study,error,0.0,6655.931917301593,358614.21664534113,11209.403048046497,9742.865851987375,12781.647862826732,11454.246340973683,17143.98287330656,6199.1282490760605,97170.19186125233,223940.8572901171,13595.30993604931,14161.40011937718,96380.21614235819,25803.487215389745,11402.084829549882,11920.09052670203,9429.4302836839,6970.086219470308,38635.53917501815,21651.342902121214
36,"(1.0, 47.10057450016029)",Purchase_Process_Case_Study,alpha,0,0.5,0.24609375,0.107421875,0.109375,0.375,1,0.10546875,0.109375,0.25,0.24609375,0.4375,0.1083984375,0.25,0.625,0,0.0625,0.5,0.25,0.75,0
37,"(1.0, 47.10057450016029)",Purchase_Process_Case_Study,error,0.0,7032.656220057738,489467.6051367582,17691.101247610775,9074.8091112951,12554.52511178749,11205.198321821428,16834.260344450417,13255.84058676134,80550.17488159082,184591.34967035596,13390.272833260467,10660.10174554334,53146.03141482339,24215.982832172172,13540.661519484673,11575.600708726588,9965.925702948874,9977.744848794619,40555.824633742704,13128.311688311687
